event_id,aircraft_id,ntsb_make,ntsb_model,ntsb_number,year,date,city,state,country,total_fatalities,in_usa,pilot_total,latimes_make,latimes_model,count,latimes_make_and_model
20001211X14670,1,ROBINSON,R-22B,LAX92FA206,1992,05/08/92 00:00:00,ANAHEIM,CA,USA,1.0,True,1.0,ROBINSON,R22,6.0,ROBINSON R22
20041217X02006,1,EUROCOPTER,AS-350-B3,LAX05FA053,2004,12/14/04 00:00:00,APACHE JUNCTION,AZ,USA,1.0,True,1.0,AIRBUS,350,3.0,AIRBUS 350
20070721X00972,1,ROBINSON,R-44,NYC07WA142,2007,06/02/07 00:00:00,TERAMO,,IT,4.0,False,1.0,ROBINSON,R44,22.0,ROBINSON R44
20160906X35440,1,ROBINSON,R22,CEN16WA351,2016,05/09/16 00:00:00,"AUBE, FRANCE",FN,FR,1.0,False,,ROBINSON,R22,45.0,ROBINSON R22
20001211X11966,1,HILLER,UH-12E,DEN93FA033,1993,03/16/93 00:00:00,APPLEGATE,OR,USA,3.0,True,1.0,FAIRCHILD/HILLER,UH-12,10.0,FAIRCHILD/HILLER UH-12
20001213X33174,1,AEROSPATIALE,SE 318C,SEA86FA073,1986,03/07/86 00:00:00,SILETZ,OR,USA,1.0,True,1.0,AIRBUS,318,1.0,AIRBUS 318
20050721X01068,1,BELL,412,DFW05WA184,2005,07/17/05 00:00:00,CIUDAD CARMEN,,MX,2.0,False,2.0,BELL,412,9.0,BELL 412
20080117X00071,1,ROBINSON,R-44,LAX08WA045,2007,12/29/07 00:00:00,WESTGATE BRIDGE,,AS,1.0,False,,ROBINSON,R44,22.0,ROBINSON R44
20130331X41252,1,EUROCOPTER,AS350,ANC13GA036,2013,03/30/13 00:00:00,TALKEETNA,AK,USA,3.0,True,1.0,AIRBUS,350,4.0,AIRBUS 350
20001214X38471,1,BELL,206L,MKC86FA037,1985,12/20/85 00:00:00,AINSWORTH,NE,USA,3.0,True,1.0,BELL,206,7.0,BELL 206
20180322X32109,1,EUROCOPTER,EC120,WPR18WA110,2018,03/21/18 00:00:00,"HARDY REEF, QUEENSLAND",,AS,2.0,False,,AIRBUS,120,1.0,AIRBUS 120
20020917X02025,1,BELL,206B,FTW82DA075,1982,03/02/82 00:00:00,HIGH ISLAND BLK,GM,,2.0,False,1.0,BELL,206,112.0,BELL 206
20001213X32106,1,BELL,206B,LAX87FA332,1987,09/09/87 00:00:00,VALLEJO,CA,USA,3.0,True,1.0,BELL,206,112.0,BELL 206
20001212X24293,1,ENSTROM,F28C,LAX90FA316,1990,09/07/90 00:00:00,SANTA PAULA,CA,USA,1.0,True,1.0,ENSTROM,F28,4.0,ENSTROM F28
20140318X21532,1,EUROCOPTER,AS 350 B2,WPR14FA137,2014,03/18/14 00:00:00,SEATTLE,WA,USA,2.0,True,1.0,AIRBUS,350,8.0,AIRBUS 350
20110804X41634,1,ROBINSON,R-44,ERA11WA439,2011,07/09/11 00:00:00,ISTOK,,RS,1.0,False,1.0,ROBINSON,R44,22.0,ROBINSON R44
20001211X14950,1,MBB,BK-117,NYC92FA123,1992,06/20/92 00:00:00,MIDDLETOWN,CT,USA,1.0,True,1.0,MBB,117,1.0,MBB 117
20071121X01829,1,HUGHES,269C,SEA08FA022,2007,11/08/07 00:00:00,BAKER CITY,OR,USA,1.0,True,1.0,HUGHES,269,22.0,HUGHES 269
20001213X31507,1,AEROSPATIALE,AS-355-F1,FTW87FA156,1987,07/04/87 00:00:00,VENICE,LA,USA,1.0,True,1.0,AIRBUS,355,2.0,AIRBUS 355
20001214X44932,1,BELL,206B III,NYC84FA009,1983,10/18/83 00:00:00,HUDSON,NH,USA,1.0,True,1.0,BELL,206,8.0,BELL 206
20001211X15345,1,BELL,206B,CHI92FA232,1992,08/09/92 00:00:00,ST. CHARLES,MO,USA,2.0,True,1.0,BELL,206,112.0,BELL 206
20040811X01197,1,BELL,47G-5,MIA04GA117,2004,08/04/04 00:00:00,BUNNELL,FL,USA,1.0,True,1.0,BELL,47,4.0,BELL 47
20020917X02103,1,MBB-BOLKOW,BO-105CBS,FTW82FA110,1982,04/02/82 00:00:00,MCKINNEY,TX,USA,3.0,True,1.0,MBB,105,1.0,MBB 105
20001208X05165,1,BELL,47G-2A1,LAX96LA111,1996,01/29/96 00:00:00,HONIARA,PO,BP,1.0,False,1.0,BELL,47,2.0,BELL 47
20001214X37157,1,BELL,206-B,LAX85FA315,1985,07/12/85 00:00:00,PAGE,AZ,USA,2.0,True,1.0,BELL,206,1.0,BELL 206
20001213X29425,1,HUGHES,269A,LAX89LA324,1989,09/18/89 00:00:00,AGANA,GU,USA,2.0,True,1.0,HUGHES,269,11.0,HUGHES 269
